[P02BB01, trichlorfon, The therapeutic efficacy of Quinidine can be decreased when used in combination with Metrifonate.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A07DA03, loperamide, The excretion of Loperamide can be decreased when combined with Quinidine.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Quinidine.]
[N05AH01, loxapine, The serum concentration of Quinidine can be increased when it is combined with Loxapine.]
[J01AA04, lymecycline, The risk or severity of neuromuscular blockade can be increased when Lymecycline is combined with Quinidine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Quinidine.]
[L01EG01, temsirolimus, The serum concentration of Quinidine can be increased when it is combined with Temsirolimus.]
[B05XA11, magnesium chloride, Magnesium chloride may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A12CC10, magnesium oxide, Magnesium oxide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the arrhythmogenic activities of Quinidine.]
[L01BA05, pralatrexate, Pralatrexate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Quinidine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Quinidine.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Quinidine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be increased when it is combined with Quinidine.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Quinidine.]
[P01BC02, mefloquine, The risk or severity of adverse effects can be increased when Quinidine is combined with Mefloquine.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AB06, nadroparin, The therapeutic efficacy of Nadroparin can be increased when used in combination with Quinidine.]
[B01AB05, enoxaparin, The therapeutic efficacy of Enoxaparin can be increased when used in combination with Quinidine.]
[B01AB04, dalteparin, The therapeutic efficacy of Dalteparin can be increased when used in combination with Quinidine.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Quinidine.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Quinidine is combined with Meperidine.]
[C01CA11, mephentermine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Mephentermine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Quinidine.]
[N03AA01, mephobarbital, The serum concentration of Methylphenobarbital can be increased when it is combined with Quinidine.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Mepivacaine.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Quinidine is combined with Meptazinol.]
[G04BX16, tiopronin, Tiopronin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L02BG01, aminoglutethimide, The metabolism of Quinidine can be increased when combined with Aminoglutethimide.]
[C03BC01, mersalyl, Mersalyl may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Mesoridazine.]
[N05AX13, paliperidone, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Paliperidone.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Quinidine.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Quinidine.]
[H01CB03, lanreotide, The metabolism of Quinidine can be decreased when combined with Lanreotide.]
[J01AA05, methacycline, The risk or severity of neuromuscular blockade can be increased when Quinidine is combined with Metacycline.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Quinidine is combined with Methadone.]
[N06BA03, methamphetamine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Metamfetamine.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Quinidine is combined with Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[S01EC05, methazolamide, The excretion of Quinidine can be decreased when combined with Methazolamide.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[H03BB02, methimazole, The metabolism of Quinidine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Quinidine may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N05CA15, methohexital, Methohexital may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N02BG08, ziconotide, Quinidine may increase the arrhythmogenic activities of Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Quinidine.]
[N05AA02, methotrimeprazine, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Methotrimeprazine.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Quinidine.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Quinidine.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Quinidine.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[V04CG05, methylene blue, The serum concentration of Quinidine can be increased when it is combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Quinidine can be decreased when combined with Methylergometrine.]
[R03DA05, aminophylline, The serum concentration of Aminophylline can be increased when it is combined with Quinidine.]
[N06BA04, methylphenidate, The risk or severity of hypertension can be increased when Methylphenidate is combined with Quinidine.]
[H02AB04, methylprednisolone, The metabolism of Quinidine can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The metabolism of Quinidine can be increased when combined with Rufinamide.]
[G03EK01, methyltestosterone, Methyltestosterone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N02CA04, methysergide, The metabolism of Quinidine can be decreased when combined with Methysergide.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Quinidine.]
[C03BA08, metolazone, Metolazone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C07AB02, metoprolol, Metoprolol may increase the arrhythmogenic activities of Quinidine.]
[P01AB01, metronidazole, The metabolism of Quinidine can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Quinidine can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, Mexiletine may increase the arrhythmogenic activities of Quinidine.]
[N06AX03, mianserin, Mianserin may increase the anticholinergic activities of Quinidine.]
[S02AA13, miconazole, The metabolism of Quinidine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Quinidine.]
[B01AB07, parnaparin, The therapeutic efficacy of Parnaparin can be increased when used in combination with Quinidine.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Quinidine.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Quinidine.]
[G03XB01, mifepristone, The serum concentration of Quinidine can be increased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The therapeutic efficacy of Tinzaparin can be increased when used in combination with Quinidine.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Quinidine.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Quinidine.]
[J01AA08, minocycline, The risk or severity of neuromuscular blockade can be increased when Quinidine is combined with Minocycline.]
[D11AX01, minoxidil, Quinidine may decrease the antihypertensive activities of Minoxidil.]
[J01FA11, miocamycin, The serum concentration of Quinidine can be increased when it is combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Quinidine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Lisdexamfetamine.]
[N05AE02, molindone, Molindone may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L03AC01, aldesleukin, The metabolism of Quinidine can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The serum concentration of Quinidine can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Quinidine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Quinidine is combined with Morphine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Quinidine.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L04AB05, certolizumab pegol, The metabolism of Quinidine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Quinidine.]
[G04BA01, ammonium chloride, Ammonium chloride may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be increased when it is combined with Quinidine.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be increased when used in combination with Quinidine.]
[N05CA02, amobarbital, The metabolism of Quinidine can be increased when combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Quinidine.]
[G04CA04, silodosin, The excretion of Silodosin can be decreased when combined with Quinidine.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Quinidine is combined with Ipratropium.]
[G03XC01, raloxifene, The metabolism of Quinidine can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[N03AB05, fosphenytoin, The serum concentration of Quinidine can be decreased when it is combined with Fosphenytoin.]
[C07AA12, nadolol, Quinidine may increase the arrhythmogenic activities of Nadolol.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Quinidine is combined with Ropinirole.]
[J01CF06, nafcillin, The metabolism of Quinidine can be increased when combined with Nafcillin.]
[C04AX21, nafronyl, Naftidrofuryl may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Quinidine is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Quinidine can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Quinidine is combined with Naltrexone.]
[L04AC03, anakinra, The metabolism of Quinidine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of Cardiac Arrhythmia can be increased when Naphazoline is combined with Quinidine.]
[N06BA01, amphetamine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Amphetamine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Quinidine.]
[A10BG01, troglitazone, The metabolism of Quinidine can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Quinidine.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Quinidine.]
[S03AA01, neomycin, Neomycin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Quinidine is combined with Remifentanil.]
[A10BX02, repaglinide, Quinidine may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[C01CX08, levosimendan, Quinidine may increase the arrhythmogenic activities of Levosimendan.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01EB06, neostigmine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Neostigmine.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Quinidine.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L03AX16, plerixafor, Plerixafor may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01AA23, netilmicin, Netilmicin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N06AX23, desvenlafaxine, The metabolism of Quinidine can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Quinidine may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C10AD02, niacin, The metabolism of Quinidine can be decreased when combined with Niacin.]
[N06AF02, nialamide, Nialamide may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C08CA04, nicardipine, Nicardipine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[C04AE02, nicergoline, Nicergoline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Quinidine.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Quinidine is combined with Nicotine.]
[C08CA05, nifedipine, Quinidine may increase the arrhythmogenic activities of Nifedipine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C08CA06, nimodipine, Nimodipine may increase the arrhythmogenic activities of Quinidine.]
[C08CA07, nisoldipine, Nisoldipine may increase the arrhythmogenic activities of Quinidine.]
[N05CD02, nitrazepam, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C08CA08, nitrendipine, Quinidine may increase the arrhythmogenic activities of Nitrendipine.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05CF03, zaleplon, The metabolism of Quinidine can be decreased when combined with Zaleplon.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N01AX13, nitrous oxide, Nitrous oxide may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N06AX04, nomifensine, Nomifensine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C01CA03, norepinephrine, The therapeutic efficacy of Norepinephrine can be decreased when used in combination with Quinidine.]
[G03DC02, norethindrone, The metabolism of Quinidine can be decreased when combined with Norethisterone.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Quinidine.]
[C02KX01, bosentan, The metabolism of Quinidine can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[R05DA07, noscapine, The metabolism of Quinidine can be decreased when combined with Noscapine.]
[A16AX07, sapropterin, The serum concentration of Quinidine can be increased when it is combined with Sapropterin.]
[G02CA02, nylidrin, Quinidine may increase the arrhythmogenic activities of Nylidrin.]
[B01AB08, reviparin, The therapeutic efficacy of Reviparin can be increased when used in combination with Quinidine.]
[H01CB02, octreotide, The serum concentration of Quinidine can be increased when it is combined with Octreotide.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Quinidine.]
[J01FA05, oleandomycin, The serum concentration of Quinidine can be increased when it is combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Quinidine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Quinidine can be increased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Quinidine is combined with Opium.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Quinidine.]
[B01AD07, reteplase, The therapeutic efficacy of Reteplase can be increased when used in combination with Quinidine.]
[B01AD09, ancrod, The therapeutic efficacy of Ancrod can be increased when used in combination with Quinidine.]
[G04CA02, tamsulosin, Tamsulosin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Quinidine.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Quinidine.]
[C07AA02, oxprenolol, Quinidine may increase the arrhythmogenic activities of Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of adverse effects can be increased when Quinidine is combined with Oxycodone.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Quinidine.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Oxymetazoline can be decreased when used in combination with Quinidine.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Quinidine is combined with Oxymorphone.]
[N05AE01, oxypertine, Oxypertine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A03AB03, oxyphenonium, The risk or severity of adverse effects can be increased when Oxyphenonium is combined with Quinidine.]
[S01AA04, oxytetracycline, The excretion of Oxytetracycline can be decreased when combined with Quinidine.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Quinidine.]
[V04CH30, 4-aminohippuric acid, The excretion of Aminohippuric acid can be decreased when combined with Quinidine.]
[N05AH05, asenapine, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Asenapine.]
[B01AB09, danaparoid, The therapeutic efficacy of Danaparoid can be increased when used in combination with Quinidine.]
[N02AX06, tapentadol, The risk or severity of adverse effects can be increased when Quinidine is combined with Tapentadol.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be increased when used in combination with Quinidine.]
[J04AB30, capreomycin, Capreomycin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Quinidine.]
[N05CC05, paraldehyde, Paraldehyde may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[H02AB05, paramethasone, The metabolism of Quinidine can be increased when combined with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Quinidine.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Quinidine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Quinidine.]
[N05AG03, penfluridol, Quinidine may increase the arrhythmogenic activities of Penfluridol.]
[M01CC01, penicillamine, The excretion of Penicillamine can be decreased when combined with Quinidine.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Quinidine.]
[J01CE09, penicillin G procaine, Procaine benzylpenicillin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N02AD01, pentazocine, The risk or severity of adverse effects can be increased when Quinidine is combined with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Quinidine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Pentostatin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C04AD03, pentoxifylline, The serum concentration of Pentoxifylline can be increased when it is combined with Quinidine.]
[N05AB10, perazine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Perazine.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Quinidine.]
[C08EX02, perhexiline, Quinidine may increase the arrhythmogenic activities of Perhexiline.]
[N05AB03, perphenazine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Quinidine.]
[N02AD02, phenazocine, The risk or severity of adverse effects can be increased when Quinidine is combined with Phenazocine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Quinidine.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Quinidine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Quinidine.]
[N03AA02, phenobarbital, The serum concentration of Phenobarbital can be increased when it is combined with Quinidine.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Quinidine.]
[N01AH04, phenoperidine, The risk or severity of adverse effects can be increased when Quinidine is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The therapeutic efficacy of Phenprocoumon can be increased when used in combination with Quinidine.]
[A08AA01, phentermine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Phentermine.]
[V03AB36, phentolamine, Phentolamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[M02AA01, phenylbutazone, The metabolism of Quinidine can be increased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Quinidine.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Quinidine.]
[N03AB02, phenytoin, The serum concentration of Quinidine can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Quinidine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Quinidine.]
[N07BB03, acamprosate, The excretion of Acamprosate can be decreased when combined with Quinidine.]
[V03AB19, physostigmine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Physostigmine.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be decreased when combined with Quinidine.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C08CX01, mibefradil, Quinidine may increase the arrhythmogenic activities of Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Quinidine.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Quinidine.]
[C10AA05, atorvastatin, The risk or severity of myopathy and rhabdomyolysis can be increased when Quinidine is combined with Atorvastatin.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Quinidine can be increased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Quinidine.]
[N05AC04, pipothiazine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Pipotiazine.]
[N06BX03, piracetam, Piracetam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C09CA02, eprosartan, Quinidine may decrease the antihypertensive activities of Eprosartan.]
[A02BX03, pirenzepine, The risk or severity of adverse effects can be increased when Pirenzepine is combined with Quinidine.]
[N02AC03, pirinitramide, The risk or severity of adverse effects can be increased when Quinidine is combined with Piritramide.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Grepafloxacin is combined with Quinidine.]
[N02CX01, pizotyline, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Quinidine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Quinidine can be decreased when combined with Irbesartan.]
[N05CA22, proxibarbal, Proxibarbal may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[B01AC13, abciximab, The therapeutic efficacy of Abciximab can be increased when used in combination with Quinidine.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Quinidine.]
[S01XA13, alteplase, The therapeutic efficacy of Alteplase can be increased when used in combination with Quinidine.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Quinidine.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Quinidine.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Quinidine.]
[L04AC08, canakinumab, The metabolism of Quinidine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The excretion of Polythiazide can be decreased when combined with Quinidine.]
[J05AE03, ritonavir, The serum concentration of Quinidine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Saxagliptin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B05XA01, potassium chloride, The risk or severity of gastrointestinal ulceration can be increased when Quinidine is combined with Potassium chloride.]
[C10AA08, pitavastatin, Quinidine may decrease the excretion rate of Pitavastatin which could result in a higher serum level.]
[C07AB01, practolol, Quinidine may increase the arrhythmogenic activities of Practolol.]
[C01BA08, prajmaline, Quinidine may increase the arrhythmogenic activities of Prajmaline.]
[N05BA11, prazepam, Prazepam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[P02BA01, praziquantel, The metabolism of Quinidine can be decreased when combined with Praziquantel.]
[C02CA01, prazosin, Prazosin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[S03BA02, prednisolone, The metabolism of Quinidine can be increased when combined with Prednisolone.]
