[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Quinine.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Quinine.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Quinine is combined with Ethotoin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Quinine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Quinine.]
[L01CB01, etoposide, The serum concentration of Etoposide can be increased when it is combined with Quinine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Quinine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Quinine.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Quinine.]
[J01MA08, fleroxacin, The therapeutic efficacy of Quinine can be increased when used in combination with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Quinine.]
[R06AX12, terfenadine, The metabolism of Quinine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Quinine.]
[N06AB08, fluvoxamine, The metabolism of Quinine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Quinine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Quinine.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Quinine.]
[C10AA03, pravastatin, The serum concentration of Pravastatin can be increased when it is combined with Quinine.]
[B05AA05, dextran, The therapeutic efficacy of Dextran can be increased when used in combination with Quinine.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Quinine.]
[P02CA03, albendazole, The metabolism of Quinine can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Quinine can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Fendiline is combined with Quinine.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Quinine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Quinine.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Quinine.]
[B01AD05, plasmin, The therapeutic efficacy of Fibrinolysin can be increased when used in combination with Quinine.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Quinine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Quinine.]
[G04BD02, flavoxate, Quinine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Quinine.]
[J02AC01, fluconazole, The risk or severity of hypoglycemia can be increased when Quinine is combined with Fluconazole.]
[H02AA02, fludrocortisone, The risk or severity of hyperglycemia can be increased when Fludrocortisone is combined with Quinine.]
[D07XB01, flumethasone, The risk or severity of hyperglycemia can be increased when Flumethasone is combined with Quinine.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Quinine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The risk or severity of hyperglycemia can be increased when Fluocinonide is combined with Quinine.]
[N06AA14, melitracen, Melitracen may decrease the hypoglycemic activities of Quinine.]
[H02AB03, fluocortolone, The risk or severity of hyperglycemia can be increased when Fluocortolone is combined with Quinine.]
[V03AZ01, ethanol, Quinine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Quinine can be decreased when combined with Floxuridine.]
[S01CB05, fluorometholone, The risk or severity of hyperglycemia can be increased when Fluorometholone is combined with Quinine.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Quinine.]
[N06AB03, fluoxetine, The serum concentration of Quinine can be increased when it is combined with Fluoxetine.]
[G03BA01, fluoxymesterone, Fluoxymesterone may increase the hypoglycemic activities of Quinine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Quinine is combined with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Fluphenazine.]
[D07AC07, flurandrenolide, The risk or severity of hyperglycemia can be increased when Flurandrenolide is combined with Quinine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Flurazepam.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Quinine.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Fluspirilene is combined with Quinine.]
[L02BB01, flutamide, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Flutamide.]
[S01AA07, framycetin, The risk or severity of neuromuscular blockade can be increased when Framycetin is combined with Quinine.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Quinine.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be increased when used in combination with Quinine.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Quinine is combined with Furazolidone.]
[J05AE10, darunavir, The metabolism of Quinine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Quinine can be decreased when used in combination with Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Quinine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Amisulpride is combined with Quinine.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Quinine.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be increased when used in combination with Quinine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Quinine.]
[S01AD09, ganciclovir, The risk or severity of adverse effects can be increased when Quinine is combined with Ganciclovir.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Quinine is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Quinine is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Quinine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Telavancin is combined with Quinine.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Quinine.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Quinine.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Quinine.]
[C01CA21, cafedrine, The serum concentration of Cafedrine can be increased when it is combined with Quinine.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Liraglutide.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Quinine.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Quinine.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Quinine.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Quinine is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Quinine.]
[A10BB01, glyburide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Glyburide.]
[A10BB09, gliclazide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Glipizide.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Quinine is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Quinine is combined with Glutethimide.]
[C05AE01, nitroglycerin, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Nitroglycerin.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Quinine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Quinine.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may decrease the hypoglycemic activities of Quinine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Quinine.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Quinine.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be increased when used in combination with Quinine.]
[C09AA09, fosinopril, Quinine may increase the hypotensive activities of Fosinopril.]
[S01EX01, guanethidine, Quinine may increase the hypotensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Quinine.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation, ventricular arrhythmias, torsade de pointes, and convulsion can be increased when Quinine is combined with Halofantrine.]
[D07AD02, halcinonide, The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Quinine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Quinine is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Quinine is combined with Halothane.]
[L02AE05, histrelin, The therapeutic efficacy of Quinine can be decreased when used in combination with Histrelin.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Quinine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Quinine is combined with Insulin aspart.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Quinine is combined with Iprazochrome.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Quinine.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Quinine is combined with Allobarbital.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Quinine.]
[S01XA14, heparin, The therapeutic efficacy of Heparin can be increased when used in combination with Quinine.]
[B05CB03, magnesium citrate, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Magnesium citrate.]
[A12CC03, magnesium gluconate, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Magnesium gluconate.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Quinine.]
[A07EC02, mesalamine, Mesalazine may increase the hypoglycemic activities of Quinine.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Quinine is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Quinine.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Nilvadipine is combined with Quinine.]
[M02AA26, nimesulide, The risk or severity of hypoglycemia can be increased when Nimesulide is combined with Quinine.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Oxatomide is combined with Quinine.]
[C09AA04, perindopril, Quinine may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, Quinine may increase the hypotensive activities of Hydralazine.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Quinine can be decreased when used in combination with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Quinine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The risk or severity of hyperglycemia can be increased when Hydrocortisone is combined with Quinine.]
[D07AC16, hydrocortisone aceponate, The risk or severity of hyperglycemia can be increased when Hydrocortisone aceponate is combined with Quinine.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hyperglycemia can be increased when Hydrocortisone butyrate is combined with Quinine.]
[D07AB11, hydrocortisone probutate, The risk or severity of hyperglycemia can be increased when Hydrocortisone probutate is combined with Quinine.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Quinine can be decreased when used in combination with Hydroflumethiazide.]
[G04BD06, propiverine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Quinine can be increased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Quinine is combined with Prothipendyl.]
[L01XX05, hydroxyurea, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Hydroxyurea.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Quinine can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Quinine may increase the hypotensive activities of Rilmenidine.]
[S01BA13, rimexolone, The risk or severity of hyperglycemia can be increased when Rimexolone is combined with Quinine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Quinine.]
[B05CB02, sodium citrate, The therapeutic efficacy of Sodium citrate can be increased when used in combination with Quinine.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Quinine.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Quinine.]
[H01AC02, somatrem, Somatrem may decrease the hypoglycemic activities of Quinine.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Quinine is combined with Sufentanil.]
[N06AA02, imipramine, The metabolism of Quinine can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Quinine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Terlipressin is combined with Quinine.]
[R01AD07, tixocortol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Quinine.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Quinine.]
[L01CE01, topotecan, The serum concentration of Topotecan can be increased when it is combined with Quinine.]
[C03BA11, indapamide, The therapeutic efficacy of Quinine can be decreased when used in combination with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypoglycemia can be increased when Indomethacin is combined with Quinine.]
[C02CA02, indoramin, Quinine may increase the hypotensive activities of Indoramin.]
[L03AB04, interferon alfa-2a, The metabolism of Quinine can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Quinine can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Quinine.]
[A03AA30, piperidolate, Quinine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[R01AA02, cyclopentamine, The risk or severity of adverse effects can be increased when Quinine is combined with Cyclopentamine.]
[S01XA28, varenicline, The excretion of Varenicline can be decreased when combined with Quinine.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Articaine.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Quinine is combined with Sitagliptin.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Quinine.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Quinine is combined with Ramelteon.]
[R06AE01, buclizine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Quinine is combined with Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Quinine.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Anagrelide is combined with Quinine.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Quinine.]
[C03BA02, quinethazone, The therapeutic efficacy of Quinine can be decreased when used in combination with Quinethazone.]
[L03AB09, interferon alfacon-1, The metabolism of Quinine can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Quinine.]
[N06AA13, iprindole, Iprindole may decrease the hypoglycemic activities of Quinine.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Quinine is combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Quinine can be decreased when combined with Penciclovir.]
[N05AA07, chlorproethazine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Quinine is combined with Isocarboxazid.]
[S01EC03, dorzolamide, Quinine may increase the hypotensive activities of Dorzolamide.]
[P01AX06, atovaquone, The metabolism of Quinine can be decreased when combined with Atovaquone.]
[C09AA16, imidapril, Quinine may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Quinine.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Quinine is combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Quinine can be decreased when combined with Isoniazid.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Exenatide.]
[C01DA14, isosorbide mononitrate, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Isosorbide dinitrate.]
[B01AE06, bivalirudin, The therapeutic efficacy of Bivalirudin can be increased when used in combination with Quinine.]
[J01FA07, josamycin, The serum concentration of Quinine can be increased when it is combined with Josamycin.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Quinine.]
[S01AA24, kanamycin, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Kanamycin.]
[H01AC01, somatropin, Somatotropin may decrease the hypoglycemic activities of Quinine.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Quinine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AC07, tocilizumab, The metabolism of Quinine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Quinine is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Quinine is combined with Ketanserin.]
[B01AC22, prasugrel, The therapeutic efficacy of Prasugrel can be increased when used in combination with Quinine.]
[H02CA04, levoketoconazole, The metabolism of Quinine can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Quinine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Quinine.]
[M02AA10, ketoprofen, The metabolism of Quinine can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The serum concentration of Quinine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Quinine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Mizolastine is combined with Quinine.]
[N04BC09, rotigotine, Quinine may increase the sedative activities of Rotigotine.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Quinine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Quinine.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Quinine.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Quinine.]
[C02AA05, deserpidine, Quinine may increase the hypotensive activities of Deserpidine.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Quinine is combined with Lacosamide.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Quinine can be decreased when used in combination with Etacrynic acid.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Quinine can be decreased when used in combination with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Quinine is combined with Levodopa.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Quinine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Quinine.]
[J01FF02, lincomycin, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Lincomycin.]
[N06BA13, armodafinil, The metabolism of Quinine can be decreased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Quinine.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Quinine.]
[N06AA07, lofepramine, Lofepramine may decrease the hypoglycemic activities of Quinine.]
[A07DA03, loperamide, The excretion of Loperamide can be decreased when combined with Quinine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Quinine.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Quinine.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Quinine.]
[J01AA04, lymecycline, The risk or severity of neuromuscular blockade can be increased when Lymecycline is combined with Quinine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Quinine.]
[L01EG01, temsirolimus, The serum concentration of Quinine can be increased when it is combined with Temsirolimus.]
[B05XA11, magnesium chloride, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Magnesium chloride.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Quinine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Quinine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Quinine can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Quinine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The serum concentration of Mannitol can be increased when it is combined with Quinine.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Quinine.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Quinine is combined with Mazindol.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Quinine is combined with Mecamylamine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Quinine.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Medazepam.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be increased when it is combined with Quinine.]
[P01BC02, mefloquine, The risk or severity of adverse effects can be increased when Quinine is combined with Mefloquine.]
[C03BA05, mefruside, The therapeutic efficacy of Quinine can be increased when used in combination with Mefruside.]
[B01AB06, nadroparin, The therapeutic efficacy of Nadroparin can be increased when used in combination with Quinine.]
[B01AB05, enoxaparin, The therapeutic efficacy of Enoxaparin can be increased when used in combination with Quinine.]
[B01AB04, dalteparin, The therapeutic efficacy of Dalteparin can be increased when used in combination with Quinine.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Quinine is combined with Melatonin.]
[N06DX01, memantine, The serum concentration of Memantine can be increased when it is combined with Quinine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Quinine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Quinine.]
[N03AA01, mephobarbital, The serum concentration of Methylphenobarbital can be increased when it is combined with Quinine.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Quinine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Quinine.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Quinine is combined with Meptazinol.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Quinine.]
[G03BB01, mesterolone, Mesterolone may increase the hypoglycemic activities of Quinine.]
[N05AX13, paliperidone, The metabolism of Paliperidone can be decreased when combined with Quinine.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Quinine is combined with Metformin.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Quinine.]
[H01CB03, lanreotide, The therapeutic efficacy of Quinine can be decreased when used in combination with Lanreotide.]
[J01AA05, methacycline, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Metacycline.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Quinine.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Quinine.]
[A03AB07, methantheline, Quinine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Quinine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Quinine is combined with Methaqualone.]
[J05AF05, lamivudine, The serum concentration of Lamivudine can be increased when it is combined with Quinine.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Quinine.]
[S01EC05, methazolamide, The excretion of Quinine can be decreased when combined with Methazolamide.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Quinine is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Quinine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Quinine.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Quinine.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Quinine is combined with Methohexital.]
[N02BG08, ziconotide, The risk or severity of adverse effects can be increased when Quinine is combined with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be increased when combined with Quinine.]
[N05AA02, methotrimeprazine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Quinine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Quinine.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Quinine can be decreased when used in combination with Methyclothiazide.]
[C02AB01, methyldopa, Quinine may increase the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Quinine.]
[R03DA05, aminophylline, The serum concentration of Aminophylline can be increased when it is combined with Quinine.]
[H02AB04, methylprednisolone, The risk or severity of hyperglycemia can be increased when Methylprednisolone is combined with Quinine.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hyperglycemia can be increased when Methylprednisolone aceponate is combined with Quinine.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Quinine.]
[G03EK01, methyltestosterone, Methyltestosterone may increase the hypoglycemic activities of Quinine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Quinine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Quinine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Quinine.]
[C03BA08, metolazone, The therapeutic efficacy of Quinine can be decreased when used in combination with Metolazone.]
[C07AB02, metoprolol, The metabolism of Quinine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Quinine.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Quinine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Quinine.]
[S02AA13, miconazole, The metabolism of Quinine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Quinine.]
[B01AB07, parnaparin, The therapeutic efficacy of Parnaparin can be increased when used in combination with Quinine.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Quinine.]
[G03XB01, mifepristone, The serum concentration of Quinine can be increased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The therapeutic efficacy of Tinzaparin can be increased when used in combination with Quinine.]
[C09CA03, valsartan, The metabolism of Quinine can be decreased when combined with Valsartan.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Quinine.]
[D11AX01, minoxidil, Quinine may increase the hypotensive activities of Minoxidil.]
[J01FA11, miocamycin, The serum concentration of Quinine can be increased when it is combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Quinine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Quinine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Quinine is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Quinine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Quinine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Quinine.]
