[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Gatifloxacin.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Gatifloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Gatifloxacin.]
[J01CE04, azidocillin, The serum concentration of Gatifloxacin can be increased when it is combined with Azidocillin.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Gatifloxacin.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Azithromycin.]
[J01CA06, bacampicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Bacampicillin.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the neuroexcitatory activities of Gatifloxacin.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Gatifloxacin.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Gatifloxacin.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Gatifloxacin.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Gatifloxacin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Oxybuprocaine.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[D11AX03, calcium gluconate, Calcium gluconate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA01, calcium phosphate, Calcium Phosphate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Delafloxacin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Gatifloxacin.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Vorinostat.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be decreased when combined with Gatifloxacin.]
[R03BA02, budesonide, The risk or severity of tendinopathy can be increased when Budesonide is combined with Gatifloxacin.]
[M01AB07, bumadizone, Bumadizone may increase the neuroexcitatory activities of Gatifloxacin.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Gatifloxacin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Gatifloxacin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Acrivastine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Macimorelin.]
[A06AC08, calcium polycarbophil, Calcium polycarbophil can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA03, carbenicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Carbenicillin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Gatifloxacin.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Gatifloxacin.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Celiprolol.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be decreased when combined with Gatifloxacin.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Gatifloxacin.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Gatifloxacin.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Chloroprocaine.]
[M01AC05, lornoxicam, Lornoxicam may increase the neuroexcitatory activities of Gatifloxacin.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Gatifloxacin.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Inotersen.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Gatifloxacin.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Cibenzoline.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Gatifloxacin.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Gatifloxacin.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Clarithromycin.]
[H02AB14, cloprednol, The risk or severity of tendinopathy can be increased when Cloprednol is combined with Gatifloxacin.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Ubidecarenone.]
[V03AE07, calcium acetate, Calcium acetate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC06, magnesium lactate, Magnesium lactate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of tendinopathy can be increased when Cortivazol is combined with Gatifloxacin.]
[J01CF03, methicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Meticillin.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Cicletanine.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Gatifloxacin.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Entrectinib.]
[N07XX11, pitolisant, Gatifloxacin may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Gatifloxacin.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Gatifloxacin.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Gatifloxacin.]
[H02AB13, deflazacort, The risk or severity of tendinopathy can be increased when Deflazacort is combined with Gatifloxacin.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Gatifloxacin.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dexchlorpheniramine.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Pipemidic acid.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Gatifloxacin.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Gatifloxacin.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Gatifloxacin.]
[C01BD07, dronedarone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dronedarone.]
[V03AE03, lanthanum carbonate, Lanthanum carbonate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Chlorcyclizine.]
[D07XB03, fluprednidene, The risk or severity of tendinopathy can be increased when Fluprednidene is combined with Gatifloxacin.]
[M01AC04, droxicam, Droxicam may increase the neuroexcitatory activities of Gatifloxacin.]
[M02AA27, dexketoprofen, Dexketoprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Dyclonine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Fostemsavir.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Chloroquine.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Gatifloxacin.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Gatifloxacin.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Chlorprothixene.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Gatifloxacin.]
[N02BA07, ethenzamide, Ethenzamide may increase the neuroexcitatory activities of Gatifloxacin.]
[M01AB08, etodolac, Etodolac may increase the neuroexcitatory activities of Gatifloxacin.]
[M02AA06, etofenamate, Etofenamate may increase the neuroexcitatory activities of Gatifloxacin.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Berotralstat.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Relugolix.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Gatifloxacin.]
[M01AE05, fenbufen, Fenbufen may increase the neuroexcitatory activities of Gatifloxacin.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Gatifloxacin.]
[V08CA07, ferric ammonium citrate, Ferric ammonium citrate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Prussian blue can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Iron sucrose can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA05, ferrous chloride, Ferrous chloride can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Ferrous fumarate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Ferrous gluconate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Ferrous succinate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Ferrous sulfate anhydrous can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of tendinopathy can be increased when Flunisolide is combined with Gatifloxacin.]
[S02BA08, fluocinolone acetonide, The risk or severity of tendinopathy can be increased when Fluocinolone acetonide is combined with Gatifloxacin.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Gatifloxacin.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Gatifloxacin.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Gatifloxacin.]
[B03AB10, ferric maltol, Ferric maltol can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Gatifloxacin.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Gatifloxacin is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Gatifloxacin.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Gatifloxacin.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Gatifloxacin.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Gatifloxacin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Gatifloxacin.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Gatifloxacin.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Gatifloxacin.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Gatifloxacin.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Granisetron.]
[J01CF02, cloxacillin, The serum concentration of Gatifloxacin can be increased when it is combined with Cloxacillin.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Gatifloxacin.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Gatifloxacin.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Gatifloxacin.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Cocaine.]
[M01AX13, proquazone, Proquazone may increase the neuroexcitatory activities of Gatifloxacin.]
[J01CA18, hetacillin, The serum concentration of Gatifloxacin can be increased when it is combined with Hetacillin.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Gatifloxacin.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Desflurane.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Gatifloxacin.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may increase the neuroexcitatory activities of Gatifloxacin.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Gatifloxacin.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Gatifloxacin.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of tendinopathy can be increased when Ciclesonide is combined with Gatifloxacin.]
[B01AC10, indobufen, Indobufen may increase the neuroexcitatory activities of Gatifloxacin.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Desloratadine.]
[M01AH03, valdecoxib, Valdecoxib may increase the neuroexcitatory activities of Gatifloxacin.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Gatifloxacin.]
[M01AH04, parecoxib, Parecoxib may increase the neuroexcitatory activities of Gatifloxacin.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Gatifloxacin.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Emedastine.]
[M01AA06, kebuzone, Kebuzone may increase the neuroexcitatory activities of Gatifloxacin.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Lacidipine.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Gatifloxacin.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Levocabastine.]
[S01BA03, cortisone, The risk or severity of tendinopathy can be increased when Cortisone is combined with Gatifloxacin.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Gatifloxacin.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Gatifloxacin.]
[M01AB09, lonazolac, Lonazolac may increase the neuroexcitatory activities of Gatifloxacin.]
[M02AA31, loxoprofen, Loxoprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB15, meprednisone, The risk or severity of tendinopathy can be increased when Meprednisone is combined with Gatifloxacin.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Adenosine.]
[J01CA14, methampicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Metampicillin.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Cyclizine.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Melperone.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Gatifloxacin.]
[S01XA18, cyclosporine, The risk or severity of nephrotoxicity can be increased when Gatifloxacin is combined with Cyclosporine.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Gatifloxacin.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Gatifloxacin.]
[M02AA02, mofebutazone, Mofebutazone may increase the neuroexcitatory activities of Gatifloxacin.]
[M01AX22, morniflumate, Morniflumate may increase the neuroexcitatory activities of Gatifloxacin.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Gatifloxacin.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Gatifloxacin.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Gatifloxacin.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Gatifloxacin.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Gatifloxacin.]
[N06AX06, nefazodone, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Nefazodone.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Gatifloxacin.]
[M03AC11, cisatracurium, Gatifloxacin may increase the neuromuscular blocking activities of Cisatracurium.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Solifenacin.]
[A07EC03, olsalazine, Olsalazine may increase the neuroexcitatory activities of Gatifloxacin.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Desipramine.]
[D07XC02, desoximetasone, The risk or severity of tendinopathy can be increased when Desoximetasone is combined with Gatifloxacin.]
[H02AA03, desoxycorticosterone, The risk or severity of tendinopathy can be increased when Desoxycortone is combined with Gatifloxacin.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Oxaliplatin.]
[M01AE12, oxaprozin, Oxaprozin may increase the neuroexcitatory activities of Gatifloxacin.]
[S03BA01, dexamethasone, The risk or severity of tendinopathy can be increased when Dexamethasone is combined with Gatifloxacin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Gatifloxacin.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Gatifloxacin.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Gatifloxacin.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Gatifloxacin.]
[J01CE05, phenethicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Pheneticillin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Gatifloxacin.]
[J01CF01, dicloxacillin, The serum concentration of Gatifloxacin can be increased when it is combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Gatifloxacin.]
[J05AF02, didanosine, Didanosine can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Pinaverium.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Gatifloxacin.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Gatifloxacin.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Gatifloxacin.]
[D07XC04, diflucortolone, The risk or severity of tendinopathy can be increased when Difluocortolone is combined with Gatifloxacin.]
[N02BA11, diflunisal, Diflunisal may increase the neuroexcitatory activities of Gatifloxacin.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Gatifloxacin.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Gatifloxacin.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Gatifloxacin.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dimenhydrinate.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Gatifloxacin.]
[J01CE03, propicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Propicillin.]
[N02BB04, propyphenazone, Propyphenazone may increase the neuroexcitatory activities of Gatifloxacin.]
[M01AB14, proglumetacin, Proglumetacin may increase the neuroexcitatory activities of Gatifloxacin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Gatifloxacin.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Diphenhydramine.]
[C09AA06, quinapril, Quinapril can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Cisapride.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be increased when used in combination with Gatifloxacin.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Gatifloxacin.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Gatifloxacin.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Gatifloxacin.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Gatifloxacin.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Gatifloxacin.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Gatifloxacin.]
[S01BC05, ketorolac, Ketorolac may increase the neuroexcitatory activities of Gatifloxacin.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may increase the neuroexcitatory activities of Gatifloxacin.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Gatifloxacin.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Domperidone.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Gatifloxacin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Gatifloxacin.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Sevoflurane.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Droperidol.]
[R03DA01, dyphylline, The metabolism of Dyphylline can be decreased when combined with Gatifloxacin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Sultopride.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Talinolol.]
[H01AA01, corticotropin, The risk or severity of tendinopathy can be increased when Corticotropin is combined with Gatifloxacin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Temafloxacin.]
[J01CA17, temocillin, The serum concentration of Gatifloxacin can be increased when it is combined with Temocillin.]
[M01AC02, tenoxicam, Tenoxicam may increase the neuroexcitatory activities of Gatifloxacin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Gatifloxacin.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Terodiline.]
[M01AG02, tolfenamic acid, Tolfenamic acid may increase the neuroexcitatory activities of Gatifloxacin.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Gatifloxacin.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Toremifene.]
