[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Yohimbine is combined with Antipyrine.]
[N05AB04, prochlorperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Yohimbine.]
[N04AA04, procyclidine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Yohimbine can be decreased when combined with Progesterone.]
[N05AA03, promazine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Yohimbine can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Yohimbine is combined with Propanidid.]
[A03AB05, propantheline, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Periciazine.]
[N05CM06, propiomazine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Yohimbine.]
[N02AC04, propoxyphene, The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Yohimbine.]
[C07AA05, propranolol, Yohimbine may decrease the antihypertensive activities of Propranolol.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Yohimbine.]
[B01AC09, epoprostenol, Yohimbine may decrease the antihypertensive activities of Epoprostenol.]
[N06AA11, protriptyline, The serum concentration of Yohimbine can be increased when it is combined with Protriptyline.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Yohimbine can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Yohimbine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Yohimbine is combined with Vinbarbital.]
[N05BB02, captodiamine, The therapeutic efficacy of Captodiame can be increased when used in combination with Yohimbine.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Yohimbine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Yohimbine is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Mepyramine.]
[C01BA01, quinidine, The metabolism of Yohimbine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Yohimbine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Yohimbine can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Yohimbine may decrease the antihypertensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Yohimbine.]
[J04AB02, rifampin, The metabolism of Yohimbine can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Yohimbine is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Ritodrine is combined with Yohimbine.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Yohimbine is combined with Oxitriptan.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Yohimbine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Yohimbine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Yohimbine.]
[S01FA02, scopolamine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Yohimbine.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Yohimbine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Yohimbine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Yohimbine.]
[R03BB01, ipratropium bromide, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
