[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Linezolid is combined with Antipyrine.]
[C01CA03, norepinephrine, The risk or severity of hypertension can be increased when Linezolid is combined with Norepinephrine.]
[C02KX01, bosentan, Linezolid may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Nortriptyline.]
[B01AC16, eptifibatide, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Eptifibatide.]
[G02CA02, nylidrin, The risk or severity of hypertension can be increased when Linezolid is combined with Nylidrin.]
[B01AB08, reviparin, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Reviparin.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Linezolid is combined with Rilonacept.]
[N06AA05, opipramol, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Opipramol.]
[N02AA02, opium, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Opium.]
[R03CB03, metaproterenol, The risk or severity of hypertension can be increased when Linezolid is combined with Orciprenaline.]
[B01AD07, reteplase, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Reteplase.]
[B01AD09, ancrod, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Ancrod.]
[G04CA02, tamsulosin, Linezolid may increase the orthostatic hypotensive activities of Tamsulosin.]
[C07AA02, oxprenolol, Linezolid may increase the hypotensive activities of Oxprenolol.]
[N02AA05, oxycodone, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Oxycodone.]
[C01DX03, oxyfedrine, The risk or severity of hypertension can be increased when Linezolid is combined with Oxyfedrine.]
[S01GA04, oxymetazoline, The risk or severity of hypertension can be increased when Linezolid is combined with Oxymetazoline.]
[N02AA11, oxymorphone, The risk or severity of adverse effects can be increased when Oxymorphone is combined with Linezolid.]
[N05AE01, oxypertine, The risk or severity of adverse effects can be increased when Linezolid is combined with Oxypertine.]
[S01BC02, oxyphenbutazone, The risk or severity of hypertension can be increased when Linezolid is combined with Oxyphenbutazone.]
[S01AA04, oxytetracycline, The excretion of Oxytetracycline can be decreased when combined with Linezolid.]
[V04CH30, 4-aminohippuric acid, The excretion of Aminohippuric acid can be decreased when combined with Linezolid.]
[N05AH05, asenapine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Asenapine.]
[B01AB09, danaparoid, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Danaparoid.]
[N02AX06, tapentadol, The risk or severity of adverse effects can be increased when Tapentadol is combined with Linezolid.]
[G04BE02, papaverine, Linezolid may increase the orthostatic hypotensive activities of Papaverine.]
[N05CC05, paraldehyde, The therapeutic efficacy of Paraldehyde can be decreased when used in combination with Linezolid.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Linezolid is combined with Paramethasone.]
[C02KC01, pargyline, The risk or severity of serotonin syndrome can be increased when Pargyline is combined with Linezolid.]
[C07AA23, penbutolol, Linezolid may increase the hypotensive activities of Penbutolol.]
[N05AG03, penfluridol, The risk or severity of adverse effects can be increased when Linezolid is combined with Penfluridol.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Linezolid is combined with Penicillamine.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Linezolid.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Linezolid.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Linezolid.]
[N02AD01, pentazocine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Pentazocine.]
[N05CA01, pentobarbital, The therapeutic efficacy of Pentobarbital can be decreased when used in combination with Linezolid.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Linezolid.]
[C04AD03, pentoxifylline, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Pentoxifylline.]
[N05AB10, perazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Perazine.]
[N04BC02, pergolide, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Pergolide.]
[N05AB03, perphenazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Perphenazine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Linezolid.]
[N02AD02, phenazocine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of serotonin syndrome can be increased when Phenelzine is combined with Linezolid.]
[A10BA01, phenformin, Linezolid may increase the hypoglycemic activities of Phenformin.]
[B01AA02, phenindione, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Phenindione.]
[N03AA02, phenobarbital, The therapeutic efficacy of Phenobarbital can be decreased when used in combination with Linezolid.]
[N01AH04, phenoperidine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Phenoperidine.]
[C04AX02, phenoxybenzamine, Linezolid may increase the hypotensive activities of Phenoxybenzamine.]
[B01AA04, phenprocoumon, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of hypertension can be increased when Linezolid is combined with Phentermine.]
[V03AB36, phentolamine, Linezolid may increase the hypotensive activities of Phentolamine.]
[M02AA01, phenylbutazone, The risk or severity of hypertension can be increased when Linezolid is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Linezolid is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypertension can be increased when Linezolid is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, The therapeutic efficacy of Phenytoin can be decreased when used in combination with Linezolid.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Golimumab.]
[S01AE05, levofloxacin, The excretion of Levofloxacin can be decreased when combined with Linezolid.]
[N07BB03, acamprosate, The excretion of Acamprosate can be decreased when combined with Linezolid.]
[J05AB12, cidofovir, The excretion of Cidofovir can be decreased when combined with Linezolid.]
[C08CX01, mibefradil, Linezolid may increase the hypotensive activities of Mibefradil.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Linezolid is combined with Pimozide.]
[C07AA03, pindolol, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Pindolol.]
[J01CA12, piperacillin, The excretion of Piperacillin can be decreased when combined with Linezolid.]
[N05AC04, pipothiazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Pipotiazine.]
[C09CA02, eprosartan, Linezolid may increase the hypotensive activities of Eprosartan.]
[N02AC03, pirinitramide, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Piritramide.]
[S01BC06, piroxicam, The risk or severity of hypertension can be increased when Piroxicam is combined with Linezolid.]
[J01MA11, grepafloxacin, The excretion of Grepafloxacin can be decreased when combined with Linezolid.]
[N02CX01, pizotyline, Linezolid may increase the anticholinergic activities of Pizotifen.]
[C09CA04, irbesartan, Linezolid may increase the hypotensive activities of Irbesartan.]
[B01AC13, abciximab, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Abciximab.]
[S01XA13, alteplase, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Alteplase.]
[A10BG02, rosiglitazone, Linezolid may increase the hypoglycemic activities of Rosiglitazone.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Canakinumab.]
[C03AA05, polythiazide, The excretion of Polythiazide can be decreased when combined with Linezolid.]
[A10BH03, saxagliptin, The excretion of Saxagliptin can be decreased when combined with Linezolid.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Linezolid is combined with Insulin lispro.]
[C07AB01, practolol, Linezolid may increase the hypotensive activities of Practolol.]
[C02CA01, prazosin, Linezolid may increase the hypotensive activities of Prazosin.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Linezolid is combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Linezolid is combined with Prednisone.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Prilocaine.]
[N03AA03, primidone, The therapeutic efficacy of Primidone can be decreased when used in combination with Linezolid.]
[S01HA05, procaine, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Linezolid.]
[L01XB01, procarbazine, The risk or severity of serotonin syndrome can be increased when Procarbazine is combined with Linezolid.]
[N05AB04, prochlorperazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Prochlorperazine.]
[N05AA03, promazine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Promazine.]
[R06AD02, promethazine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Promethazine.]
[C01BC03, propafenone, The risk or severity of hypertension can be increased when Linezolid is combined with Propafenone.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Linezolid.]
[N05AC01, periciazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Periciazine.]
[N05CM06, propiomazine, The risk or severity of hypertension can be increased when Linezolid is combined with Propiomazine.]
[N01AX10, propofol, Linezolid may increase the orthostatic hypotensive activities of Propofol.]
[N02AC04, propoxyphene, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Dextropropoxyphene.]
[C07AA05, propranolol, Linezolid may increase the hypotensive activities of Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Linezolid.]
[N02CC04, rizatriptan, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Rizatriptan.]
[B01AC09, epoprostenol, Linezolid may increase the hypotensive activities of Epoprostenol.]
[N06AA11, protriptyline, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Protriptyline.]
[R01BA02, pseudoephedrine, The risk or severity of hypertension can be increased when Linezolid is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Aripiprazole.]
[N07XX07, dalfampridine, The risk or severity of seizure can be increased when Linezolid is combined with Dalfampridine.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Linezolid.]
[C01BA01, quinidine, The risk or severity of hypertension can be increased when Linezolid is combined with Quinidine.]
[P01BC01, quinine, Linezolid may increase the hypoglycemic activities of Quinine.]
[A02BA02, ranitidine, The excretion of Ranitidine can be decreased when combined with Linezolid.]
[C02AA01, rescinnamine, Linezolid may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Linezolid is combined with Reserpine.]
[J04AB02, rifampin, The therapeutic efficacy of Linezolid can be decreased when used in combination with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of hypertension can be increased when Linezolid is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of hypertension can be increased when Linezolid is combined with Ritodrine.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Linezolid is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Linezolid is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Linezolid is combined with Salicylic acid.]
[N05CA06, secobarbital, The therapeutic efficacy of Secobarbital can be decreased when used in combination with Linezolid.]
[N04BD01, selegiline, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Linezolid.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Linezolid.]
[C07AA07, sotalol, Linezolid may increase the orthostatic hypotensive activities of Sotalol.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Linezolid is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Linezolid.]
[C03DA01, spironolactone, Linezolid may increase the orthostatic hypotensive activities of Spironolactone.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Linezolid is combined with Trastuzumab emtansine.]
[N03AG01, valproic acid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Linezolid is combined with Hydrocortisone butyrate.]
