[S02DA03, antipyrine, The risk or severity of hyperkalemia can be increased when Antipyrine is combined with Tolvaptan.]
[H02AB04, methylprednisolone, The metabolism of Tolvaptan can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The metabolism of Tolvaptan can be increased when combined with Rufinamide.]
[G03EK01, methyltestosterone, Tolvaptan may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CA04, methysergide, The metabolism of Tolvaptan can be decreased when combined with Methysergide.]
[A03FA01, metoclopramide, Tolvaptan may increase the excretion rate of Metoclopramide which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA08, metolazone, Tolvaptan may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Tolvaptan may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P01AB01, metronidazole, The metabolism of Tolvaptan can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Tolvaptan can be increased when combined with Metyrapone.]
[S02AA13, miconazole, The metabolism of Tolvaptan can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The risk or severity of hyperkalemia can be increased when Aminophenazone is combined with Tolvaptan.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Parnaparin.]
[N05CD08, midazolam, The metabolism of Tolvaptan can be decreased when combined with Midazolam.]
[G03XB01, mifepristone, The serum concentration of Tolvaptan can be decreased when it is combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Tinzaparin.]
[A06AA01, mineral oil, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Mineral oil.]
[J05AH01, zanamivir, Tolvaptan may increase the excretion rate of Zanamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA03, valsartan, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Valsartan.]
[J01FA11, miocamycin, The metabolism of Tolvaptan can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Tolvaptan can be increased when combined with Mitotane.]
[L03AC01, aldesleukin, The metabolism of Tolvaptan can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Tolvaptan can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Tolvaptan may increase the excretion rate of Amitriptyline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA01, morphine, The serum concentration of Tolvaptan can be increased when it is combined with Morphine.]
[A04AA05, palonosetron, Tolvaptan may increase the excretion rate of Palonosetron which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AB05, certolizumab pegol, The metabolism of Tolvaptan can be increased when combined with Certolizumab pegol.]
[G04BA01, ammonium chloride, Tolvaptan may increase the excretion rate of Ammonium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX03, pazopanib, The metabolism of Tolvaptan can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, Tolvaptan may increase the excretion rate of Mycophenolic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA02, amobarbital, The metabolism of Tolvaptan can be increased when combined with Amobarbital.]
[G04CA04, silodosin, The serum concentration of Tolvaptan can be increased when it is combined with Silodosin.]
[G03XC01, raloxifene, The metabolism of Tolvaptan can be decreased when combined with Raloxifene.]
[N03AB05, fosphenytoin, The metabolism of Tolvaptan can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Tolvaptan may increase the excretion rate of Nadolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CA04, amoxicillin, Tolvaptan may increase the excretion rate of Amoxicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CF06, nafcillin, The metabolism of Tolvaptan can be increased when combined with Nafcillin.]
[N02AF02, nalbuphine, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Tolvaptan can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Naltrexone.]
[L04AC03, anakinra, The metabolism of Tolvaptan can be increased when combined with Anakinra.]
[N06BA01, amphetamine, Tolvaptan may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA12, naproxen, The risk or severity of hyperkalemia can be increased when Naproxen is combined with Tolvaptan.]
[A10BG01, troglitazone, The metabolism of Tolvaptan can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, Tolvaptan may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BX01, tolcapone, Tolvaptan may increase the excretion rate of Tolcapone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CD02, docetaxel, The metabolism of Tolvaptan can be decreased when combined with Docetaxel.]
[N01AH06, remifentanil, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Remifentanil.]
[B01AC17, tirofiban, Tolvaptan may increase the excretion rate of Tirofiban which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA19, ampicillin, Tolvaptan may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AX16, plerixafor, Tolvaptan may increase the excretion rate of Plerixafor which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX23, desvenlafaxine, The metabolism of Tolvaptan can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Telmisartan.]
[J05AB11, valacyclovir, Tolvaptan may increase the excretion rate of Valaciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CE01, inamrinone, Tolvaptan may increase the excretion rate of Amrinone which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AD02, niacin, The metabolism of Tolvaptan can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Tolvaptan can be decreased when combined with Nicardipine.]
[C08CA05, nifedipine, Tolvaptan may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA17, niflumic acid, The risk or severity of hyperkalemia can be increased when Niflumic acid is combined with Tolvaptan.]
[C08CA06, nimodipine, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Tolvaptan.]
[C08CA07, nisoldipine, Tolvaptan may increase the excretion rate of Nisoldipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA08, nitrendipine, The risk or severity of hyperkalemia can be increased when Nitrendipine is combined with Tolvaptan.]
[R07AX01, nitric oxide, Tolvaptan may increase the excretion rate of Nitric Oxide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XE01, nitrofurantoin, Tolvaptan may increase the excretion rate of Nitrofurantoin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF03, zaleplon, Tolvaptan may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC05, pramipexole, Tolvaptan may increase the excretion rate of Pramipexole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DD01, nitroprusside, Tolvaptan may increase the excretion rate of Nitroprusside which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA03, norepinephrine, The risk or severity of Cardiac Arrhythmia can be increased when Norepinephrine is combined with Tolvaptan.]
[G03DC02, norethindrone, The metabolism of Tolvaptan can be decreased when combined with Norethisterone.]
[C02KX01, bosentan, The metabolism of Tolvaptan can be increased when combined with Bosentan.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Tolvaptan.]
[R05DA07, noscapine, The metabolism of Tolvaptan can be decreased when combined with Noscapine.]
[A16AX07, sapropterin, The serum concentration of Tolvaptan can be increased when it is combined with Sapropterin.]
[G02CA02, nylidrin, The risk or severity of hyperkalemia can be increased when Nylidrin is combined with Tolvaptan.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of Tolvaptan can be increased when it is combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Tolvaptan can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Tolvaptan can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Tolvaptan can be increased when combined with Omeprazole.]
[N02AA02, opium, Tolvaptan may increase the excretion rate of Opium which could result in a lower serum level and potentially a reduction in efficacy.]
[G04CA02, tamsulosin, Tolvaptan may increase the excretion rate of Tamsulosin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CF04, oxacillin, Tolvaptan may increase the excretion rate of Oxacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA04, oxazepam, Tolvaptan may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA02, oxprenolol, The risk or severity of hyperkalemia can be increased when Oxprenolol is combined with Tolvaptan.]
[N02AA05, oxycodone, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Oxycodone.]
[N02AA11, oxymorphone, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Oxymorphone.]
[S01BC02, oxyphenbutazone, The risk or severity of hyperkalemia can be increased when Oxyphenbutazone is combined with Tolvaptan.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Danaparoid.]
[N02AX06, tapentadol, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Tapentadol.]
[J04AB30, capreomycin, Tolvaptan may increase the excretion rate of Capreomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB05, paramethasone, The metabolism of Tolvaptan can be increased when combined with Paramethasone.]
[G04BD11, fesoterodine, Tolvaptan may increase the excretion rate of Fesoterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA23, penbutolol, Tolvaptan may increase the excretion rate of Penbutolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AG03, penfluridol, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Penfluridol.]
[J01CE09, penicillin G procaine, Tolvaptan may increase the excretion rate of Procaine benzylpenicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AD01, pentazocine, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Pentazocine.]
[N05CA01, pentobarbital, The metabolism of Tolvaptan can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, Tolvaptan may increase the excretion rate of Pentostatin which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AD03, pentoxifylline, Tolvaptan may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C08EX02, perhexiline, The risk or severity of hyperkalemia can be increased when Perhexiline is combined with Tolvaptan.]
[N02AD02, phenazocine, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Phenazocine.]
[G04BX06, phenazopyridine, Tolvaptan may increase the excretion rate of Phenazopyridine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF03, phenelzine, Tolvaptan may increase the excretion rate of Phenelzine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AA02, phenobarbital, The metabolism of Tolvaptan can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Oxyphenisatin.]
[N01AH04, phenoperidine, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Phenoperidine.]
[V03AB36, phentolamine, Tolvaptan may increase the excretion rate of Phentolamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA01, phenylbutazone, The metabolism of Tolvaptan can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Tolvaptan can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Tolvaptan can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Tolvaptan may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BB03, bicalutamide, The metabolism of Tolvaptan can be decreased when combined with Bicalutamide.]
[B02BA01, vitamin K1, Tolvaptan may increase the excretion rate of Phylloquinone which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AB12, cidofovir, Tolvaptan may increase the excretion rate of Cidofovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CX01, mibefradil, The serum concentration of Tolvaptan can be increased when it is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Tolvaptan can be decreased when combined with Pimozide.]
[C07AA03, pindolol, Tolvaptan may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CA12, piperacillin, Tolvaptan may increase the excretion rate of Piperacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE01, saquinavir, The metabolism of Tolvaptan can be decreased when combined with Saquinavir.]
[N06BX03, piracetam, Tolvaptan may increase the excretion rate of Piracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA02, eprosartan, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Eprosartan.]
[N02AC03, pirinitramide, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Piritramide.]
[S01BC06, piroxicam, Tolvaptan may increase the excretion rate of Piroxicam which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AG02, delavirdine, The metabolism of Tolvaptan can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Irbesartan.]
[A10BG02, rosiglitazone, Tolvaptan may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AD15, polyethylene glycols, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Polyethylene glycol.]
[L04AC08, canakinumab, The metabolism of Tolvaptan can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Tolvaptan can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Tolvaptan may increase the excretion rate of Saxagliptin which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA01, potassium chloride, Tolvaptan may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Tolvaptan.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Tolvaptan.]
[C07AB01, practolol, The risk or severity of hyperkalemia can be increased when Practolol is combined with Tolvaptan.]
[S03BA02, prednisolone, The metabolism of Tolvaptan can be increased when combined with Prednisolone.]
[H02AB07, prednisone, Tolvaptan may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DX02, prenylamine, The risk or severity of hyperkalemia can be increased when Prenylamine is combined with Tolvaptan.]
[P01BA03, primaquine, The metabolism of Tolvaptan can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Tolvaptan can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Tolvaptan can be increased when combined with Probenecid.]
[C01BA02, procainamide, Tolvaptan may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AB05, fenofibrate, The metabolism of Tolvaptan can be decreased when combined with Fenofibrate.]
[R06AD02, promethazine, Tolvaptan may increase the excretion rate of Promethazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BC03, propafenone, The serum concentration of Tolvaptan can be increased when it is combined with Propafenone.]
[A03AB05, propantheline, Tolvaptan may increase the excretion rate of Propantheline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX26, fexofenadine, The serum concentration of Tolvaptan can be increased when it is combined with Fexofenadine.]
[L01XH02, romidepsin, The serum concentration of Tolvaptan can be increased when it is combined with Romidepsin.]
[N01AX10, propofol, The metabolism of Tolvaptan can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Tolvaptan can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, Tolvaptan may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CC04, rizatriptan, Tolvaptan may increase the excretion rate of Rizatriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC09, epoprostenol, Tolvaptan may increase the excretion rate of Epoprostenol which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX07, dalfampridine, Tolvaptan may increase the excretion rate of Dalfampridine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CC01, pyrantel, Tolvaptan may increase the excretion rate of Pyrantel which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AK01, pyrazinamide, Tolvaptan may increase the excretion rate of Pyrazinamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Tolvaptan.]
[C01BA01, quinidine, The serum concentration of Tolvaptan can be increased when it is combined with Quinidine.]
[P01BC01, quinine, The serum concentration of Tolvaptan can be increased when it is combined with Quinine.]
[A02BA02, ranitidine, Tolvaptan may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AA01, rescinnamine, Tolvaptan may increase the hyperkalemic activities of Rescinnamine.]
[C02AA02, reserpine, The serum concentration of Tolvaptan can be increased when it is combined with Reserpine.]
[J05AP01, ribavirin, Tolvaptan may increase the excretion rate of Ribavirin which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AB02, rifampin, The serum concentration of Tolvaptan can be decreased when it is combined with Rifampicin.]
[J01FA06, roxithromycin, The metabolism of Tolvaptan can be decreased when combined with Roxithromycin.]
[N02BA05, salicylamide, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hyperkalemia can be increased when Sulfasalazine is combined with Tolvaptan.]
[S01BC08, salicylic acid, The risk or severity of hyperkalemia can be increased when Salicylic acid is combined with Tolvaptan.]
[N05CA06, secobarbital, The metabolism of Tolvaptan can be increased when combined with Secobarbital.]
[B05XA03, sodium chloride, The risk or severity of adverse effects can be increased when Sodium chloride is combined with Tolvaptan.]
[A12CD01, sodium fluoride, Tolvaptan may increase the excretion rate of Sodium fluoride which could result in a lower serum level and potentially a reduction in efficacy.]
[H01CB01, somatostatin, The metabolism of Tolvaptan can be decreased when combined with Somatostatin.]
[V04CC01, sorbitol, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Sorbitol.]
[C07AA07, sotalol, The risk or severity of hyperkalemia can be increased when Sotalol is combined with Tolvaptan.]
[L01CD04, cabazitaxel, The serum concentration of Cabazitaxel can be increased when it is combined with Tolvaptan.]
[C03DA01, spironolactone, The risk or severity of hyperkalemia can be increased when Spironolactone is combined with Tolvaptan.]
[N05CC01, chloral hydrate, Tolvaptan may increase the excretion rate of Chloral hydrate which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AG01, valproic acid, The metabolism of Tolvaptan can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Tolvaptan can be increased when combined with Hydrocortisone butyrate.]
[C01DA14, isosorbide mononitrate, Tolvaptan may increase the excretion rate of Isosorbide mononitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[H02CA04, levoketoconazole, The metabolism of Tolvaptan can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Tolvaptan may increase the excretion rate of Azelaic acid which could result in a lower serum level and potentially a reduction in efficacy.]
