[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Lidocaine.]
[R01AX06, mupirocin, The risk or severity of methemoglobinemia can be increased when Mupirocin is combined with Lidocaine.]
[L02AE02, leuprolide, The risk or severity of methemoglobinemia can be increased when Leuprolide is combined with Lidocaine.]
[A02BA03, famotidine, The metabolism of Lidocaine can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Lidocaine can be increased when combined with Albendazole.]
[C08CA02, felodipine, Lidocaine may increase the arrhythmogenic activities of Felodipine.]
[C08EA01, fendiline, Lidocaine may increase the arrhythmogenic activities of Fendiline.]
[N03AX26, fenfluramine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Lidocaine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Lidocaine is combined with Fentanyl.]
[L01BB06, clofarabine, The risk or severity of methemoglobinemia can be increased when Clofarabine is combined with Lidocaine.]
[L04AA40, cladribine, The risk or severity of methemoglobinemia can be increased when Cladribine is combined with Lidocaine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Lidocaine.]
[G04BD02, flavoxate, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, Lidocaine may increase the arrhythmogenic activities of Flecainide.]
[J01CF05, floxacillin, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Lidocaine.]
[J02AC01, fluconazole, The metabolism of Lidocaine can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, Lidocaine may increase the arrhythmogenic activities of Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The metabolism of Lidocaine can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Lidocaine is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Lidocaine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The risk or severity of methemoglobinemia can be increased when Floxuridine is combined with Lidocaine.]
[L01BC02, fluorouracil, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Lidocaine.]
[N06AB03, fluoxetine, The serum concentration of Lidocaine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Flurazepam.]
[N05AG01, fluspirilene, Lidocaine may increase the arrhythmogenic activities of Fluspirilene.]
[L02BB01, flutamide, The risk or severity of methemoglobinemia can be increased when Flutamide is combined with Lidocaine.]
[S02AA17, fosfomycin, The risk or severity of methemoglobinemia can be increased when Fosfomycin is combined with Lidocaine.]
[S01AA07, framycetin, The risk or severity of methemoglobinemia can be increased when Framycetin is combined with Lidocaine.]
[L01BC03, tegafur, The risk or severity of methemoglobinemia can be increased when Tegafur is combined with Lidocaine.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Lidocaine is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Furazolidone.]
[J05AE10, darunavir, The metabolism of Lidocaine can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Lidocaine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Lidocaine is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Lidocaine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Gallamine.]
[C08DA02, gallopamil, Lidocaine may increase the arrhythmogenic activities of Gallopamil.]
[N03AA04, barbexaclone, The risk or severity of methemoglobinemia can be increased when Barbexaclone is combined with Lidocaine.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Lidocaine is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Lidocaine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of methemoglobinemia can be increased when Telavancin is combined with Lidocaine.]
[L02BX02, degarelix, The risk or severity of methemoglobinemia can be increased when Degarelix is combined with Lidocaine.]
[L01EA02, dasatinib, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Lidocaine.]
[N04BC06, cabergoline, The risk or severity of hypertension can be increased when Cabergoline is combined with Lidocaine.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Lidocaine.]
[N03AD03, methsuximide, Lidocaine may increase the arrhythmogenic activities of Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Lidocaine is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of methemoglobinemia can be increased when Lapatinib is combined with Lidocaine.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Lidocaine.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Lidocaine is combined with Glutethimide.]
[C05AE01, nitroglycerin, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Nitroglycerin.]
[C01BD04, dofetilide, Dofetilide may increase the arrhythmogenic activities of Lidocaine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Lidocaine.]
[L01EX02, sorafenib, The risk or severity of methemoglobinemia can be increased when Sorafenib is combined with Lidocaine.]
[C07AB09, esmolol, The serum concentration of Lidocaine can be increased when it is combined with Esmolol.]
[R02AB30, gramicidin, The risk or severity of methemoglobinemia can be increased when Gramicidin D is combined with Lidocaine.]
[L02AE03, goserelin, The risk or severity of methemoglobinemia can be increased when Goserelin is combined with Lidocaine.]
[P01BX01, halofantrine, The risk or severity of methemoglobinemia can be increased when Halofantrine is combined with Lidocaine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Lidocaine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Lidocaine is combined with Halothane.]
[N05AH04, quetiapine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Lidocaine is combined with Iprazochrome.]
[L01CE02, irinotecan, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Lidocaine.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Lidocaine is combined with Allobarbital.]
[C09CA01, losartan, Lidocaine may increase the arrhythmogenic activities of Losartan.]
[L01XX03, altretamine, The risk or severity of methemoglobinemia can be increased when Altretamine is combined with Lidocaine.]
[N05CA16, hexobarbital, The risk or severity of methemoglobinemia can be increased when Hexobarbital is combined with Lidocaine.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Lidocaine.]
[C08CA10, nilvadipine, Lidocaine may increase the arrhythmogenic activities of Nilvadipine.]
[M02AA26, nimesulide, Lidocaine may increase the arrhythmogenic activities of Nimesulide.]
[R05DA03, hydrocodone, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Lidocaine.]
[G04BD06, propiverine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Lidocaine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Lidocaine is combined with Prothipendyl.]
[L01XX05, hydroxyurea, The risk or severity of methemoglobinemia can be increased when Hydroxyurea is combined with Lidocaine.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[J04AB04, rifabutin, The risk or severity of methemoglobinemia can be increased when Rifabutin is combined with Lidocaine.]
[L01DB06, idarubicin, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Lidocaine.]
[L01AA06, ifosfamide, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Lidocaine.]
[H01AC02, somatrem, The metabolism of Lidocaine can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Lidocaine is combined with Sufentanil.]
[N06AA02, imipramine, The metabolism of Lidocaine can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of methemoglobinemia can be increased when Paclitaxel is combined with Lidocaine.]
[L01CD03, paclitaxel poliglumex, The risk or severity of methemoglobinemia can be increased when Paclitaxel poliglumex is combined with Lidocaine.]
[J01XA02, teicoplanin, The risk or severity of methemoglobinemia can be increased when Teicoplanin is combined with Lidocaine.]
[H01BA04, terlipressin, The risk or severity of hypertension can be increased when Terlipressin is combined with Lidocaine.]
[M03BX02, tizanidine, The serum concentration of Tizanidine can be increased when it is combined with Lidocaine.]
[L01CE01, topotecan, The risk or severity of methemoglobinemia can be increased when Topotecan is combined with Lidocaine.]
[L03AB04, interferon alfa-2a, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Lidocaine.]
[L03AB05, interferon alfa-2b, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2b is combined with Lidocaine.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Lidocaine is combined with Milnacipran.]
[A03AA30, piperidolate, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Alprazolam.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Lidocaine.]
[R06AE01, buclizine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Lidocaine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of methemoglobinemia can be increased when Anagrelide is combined with Lidocaine.]
[C07AA01, alprenolol, The serum concentration of Lidocaine can be increased when it is combined with Alprenolol.]
[L03AB09, interferon alfacon-1, The metabolism of Lidocaine can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Lidocaine.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Lidocaine is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Lidocaine is combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Lidocaine.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Lidocaine is combined with Isocarboxazid.]
[P01AX06, atovaquone, The risk or severity of methemoglobinemia can be increased when Atovaquone is combined with Lidocaine.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Lidocaine is combined with Isoflurane.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Entacapone.]
[J04AC01, isoniazid, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Lidocaine.]
[C01DA14, isosorbide mononitrate, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Isosorbide dinitrate.]
[J01FA07, josamycin, The risk or severity of methemoglobinemia can be increased when Josamycin is combined with Lidocaine.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Lidocaine.]
[S01AA24, kanamycin, The risk or severity of methemoglobinemia can be increased when Kanamycin is combined with Lidocaine.]
[H01AC01, somatropin, The metabolism of Lidocaine can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Lidocaine can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Lidocaine is combined with Ketanserin.]
[H02CA04, levoketoconazole, The metabolism of Lidocaine can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Lidocaine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[V03AC03, deferasirox, The serum concentration of Lidocaine can be increased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Lidocaine can be increased when combined with Abatacept.]
[N04BC09, rotigotine, Lidocaine may increase the sedative activities of Rotigotine.]
[C07AG01, labetalol, The serum concentration of Lidocaine can be increased when it is combined with Labetalol.]
[N03AX18, lacosamide, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Lidocaine.]
[J01CA11, amdinocillin, The risk or severity of methemoglobinemia can be increased when Amdinocillin is combined with Lidocaine.]
[J01CA08, amdinocillin pivoxil, The risk or severity of methemoglobinemia can be increased when Pivmecillinam is combined with Lidocaine.]
[L01DC03, mitomycin, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Lidocaine.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be decreased when combined with Lidocaine.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Lidocaine is combined with Levodopa.]
[J01MB04, pipemidic acid, The risk or severity of methemoglobinemia can be increased when Pipemidic acid is combined with Lidocaine.]
[N07XX04, sodium oxybate, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Lidocaine.]
[R03BA09, fluticasone furoate, The metabolism of Lidocaine can be decreased when combined with Fluticasone furoate.]
[J01MB02, nalidixic acid, The risk or severity of methemoglobinemia can be increased when Nalidixic acid is combined with Lidocaine.]
[C08EX01, lidoflazine, Lidocaine may increase the arrhythmogenic activities of Lidoflazine.]
[J01FF02, lincomycin, The risk or severity of methemoglobinemia can be increased when Lincomycin is combined with Lidocaine.]
[S01AA21, amikacin, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Lidocaine can be increased when combined with Armodafinil.]
[N02CA07, lisuride, The risk or severity of hypertension can be increased when Lisuride is combined with Lidocaine.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Lofepramine.]
[L01AD02, lomustine, The risk or severity of methemoglobinemia can be increased when Lomustine is combined with Lidocaine.]
[A07DA03, loperamide, Lidocaine may increase the arrhythmogenic activities of Loperamide.]
[N05BA06, lorazepam, The risk or severity of methemoglobinemia can be increased when Lorazepam is combined with Lidocaine.]
[C10AA02, lovastatin, The metabolism of Lidocaine can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Loxapine.]
[J01AA04, lymecycline, The risk or severity of methemoglobinemia can be increased when Lymecycline is combined with Lidocaine.]
[H01BA03, lypressin, The risk or severity of hypertension can be increased when Lypressin is combined with Lidocaine.]
[L01EG01, temsirolimus, The risk or severity of methemoglobinemia can be increased when Temsirolimus is combined with Lidocaine.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Lidocaine can be increased when used in combination with Magnesium sulfate.]
[L01BA05, pralatrexate, The risk or severity of methemoglobinemia can be increased when Pralatrexate is combined with Lidocaine.]
[L01EA03, nilotinib, The metabolism of Lidocaine can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Lidocaine is combined with Mazindol.]
[L01AA05, mechlorethamine, The risk or severity of methemoglobinemia can be increased when Mechlorethamine is combined with Lidocaine.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Meclizine.]
[N05BA03, medazepam, The risk or severity of methemoglobinemia can be increased when Medazepam is combined with Lidocaine.]
[C01AA08, medigoxin, Lidocaine may increase the arrhythmogenic activities of Metildigoxin.]
[P01BC02, mefloquine, The risk or severity of methemoglobinemia can be increased when Mefloquine is combined with Lidocaine.]
[J01FG01, pristinamycin, The risk or severity of methemoglobinemia can be increased when Pristinamycin is combined with Lidocaine.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Lidocaine.]
[L01AA03, melphalan, The risk or severity of methemoglobinemia can be increased when Melphalan is combined with Lidocaine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of hypertension can be increased when Mephentermine is combined with Lidocaine.]
[N03AB04, mephenytoin, The risk or severity of methemoglobinemia can be increased when Mephenytoin is combined with Lidocaine.]
[N03AA01, mephobarbital, The risk or severity of methemoglobinemia can be increased when Methylphenobarbital is combined with Lidocaine.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Lidocaine is combined with Meprobamate.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Lidocaine is combined with Meptazinol.]
[L02BG01, aminoglutethimide, The risk or severity of methemoglobinemia can be increased when Aminoglutethimide is combined with Lidocaine.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of hypertension can be increased when Metaraminol is combined with Lidocaine.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Lidocaine is combined with Dolasetron.]
[H01CB03, lanreotide, The risk or severity of methemoglobinemia can be increased when Lanreotide is combined with Lidocaine.]
[J01AA05, methacycline, The risk or severity of methemoglobinemia can be increased when Metacycline is combined with Lidocaine.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Lidocaine.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Metamfetamine.]
[A03AB07, methantheline, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Lidocaine is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of methemoglobinemia can be increased when Metharbital is combined with Lidocaine.]
[L01XD04, aminolevulinic acid, The risk or severity of methemoglobinemia can be increased when Aminolevulinic acid is combined with Lidocaine.]
[J01XX05, methenamine, The risk or severity of methemoglobinemia can be increased when Methenamine is combined with Lidocaine.]
[G02CB05, metergoline, The risk or severity of hypertension can be increased when Metergoline is combined with Lidocaine.]
[H03BB02, methimazole, The metabolism of Lidocaine can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of methemoglobinemia can be increased when Pemetrexed is combined with Lidocaine.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Lidocaine is combined with Methocarbamol.]
[N05CA15, methohexital, The risk or severity of methemoglobinemia can be increased when Methohexital is combined with Lidocaine.]
[N02BG08, ziconotide, Lidocaine may increase the arrhythmogenic activities of Ziconotide.]
[L04AX03, methotrexate, The risk or severity of methemoglobinemia can be increased when Methotrexate is combined with Lidocaine.]
[N05AA02, methotrimeprazine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of hypertension can be increased when Methoxamine is combined with Lidocaine.]
[D05BA02, methoxsalen, The metabolism of Lidocaine can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Lidocaine is combined with Methoxyflurane.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Lidocaine.]
[G02AB01, methylergonovine, The risk or severity of hypertension can be increased when Methylergometrine is combined with Lidocaine.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Lidocaine.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Lidocaine.]
[G03EK01, methyltestosterone, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Lidocaine.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Lidocaine is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of hypertension can be increased when Methysergide is combined with Lidocaine.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Lidocaine.]
[C07AB02, metoprolol, The serum concentration of Lidocaine can be increased when it is combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Lidocaine.]
[C01BB02, mexiletine, Lidocaine may increase the arrhythmogenic activities of Mexiletine.]
[J01CA10, mezlocillin, The risk or severity of methemoglobinemia can be increased when Mezlocillin is combined with Lidocaine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Lidocaine.]
[S02AA13, miconazole, The metabolism of Lidocaine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Lidocaine.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Midazolam.]
[C01CA17, midodrine, The risk or severity of hypertension can be increased when Midodrine is combined with Lidocaine.]
[G03XB01, mifepristone, The metabolism of Lidocaine can be decreased when combined with Mifepristone.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[J01FA11, miocamycin, The risk or severity of methemoglobinemia can be increased when Miocamycin is combined with Lidocaine.]
[L01DC02, plicamycin, The risk or severity of methemoglobinemia can be increased when Plicamycin is combined with Lidocaine.]
[L01AX01, mitobronitol, The risk or severity of methemoglobinemia can be increased when Mitobronitol is combined with Lidocaine.]
[L01XX23, mitotane, The risk or severity of methemoglobinemia can be increased when Mitotane is combined with Lidocaine.]
[L01DB07, mitoxantrone, The risk or severity of methemoglobinemia can be increased when Mitoxantrone is combined with Lidocaine.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Lidocaine.]
[L03AA03, molgramostim, The risk or severity of methemoglobinemia can be increased when Molgramostim is combined with Lidocaine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Molindone.]
[L03AC01, aldesleukin, The risk or severity of methemoglobinemia can be increased when Aldesleukin is combined with Lidocaine.]
[C01BD01, amiodarone, The risk or severity of generalized seizure and bradycardia can be increased when Amiodarone is combined with Lidocaine.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Lidocaine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Morphine.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Lidocaine is combined with Palonosetron.]
[J01DD06, moxalactam, The risk or severity of methemoglobinemia can be increased when Latamoxef is combined with Lidocaine.]
[L04AB05, certolizumab pegol, The metabolism of Lidocaine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Lidocaine.]
[L04AA52, ofatumumab, The risk or severity of methemoglobinemia can be increased when Ofatumumab is combined with Lidocaine.]
[L01EX03, pazopanib, The risk or severity of methemoglobinemia can be increased when Pazopanib is combined with Lidocaine.]
[L04AA06, mycophenolic acid, The risk or severity of methemoglobinemia can be increased when Mycophenolic acid is combined with Lidocaine.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Lidocaine is combined with Vecuronium.]
[N05CA02, amobarbital, The risk or severity of methemoglobinemia can be increased when Amobarbital is combined with Lidocaine.]
[P01BA06, amodiaquine, The risk or severity of methemoglobinemia can be increased when Amodiaquine is combined with Lidocaine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Lidocaine.]
[N03AB05, fosphenytoin, The risk or severity of methemoglobinemia can be increased when Fosphenytoin is combined with Lidocaine.]
[L03AB08, interferon beta-1b, The metabolism of Lidocaine can be decreased when combined with Interferon beta-1b.]
[C07AA12, nadolol, The serum concentration of Lidocaine can be increased when it is combined with Nadolol.]
[J01CA04, amoxicillin, The risk or severity of methemoglobinemia can be increased when Amoxicillin is combined with Lidocaine.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Lidocaine is combined with Ropinirole.]
[J01CF06, nafcillin, The risk or severity of methemoglobinemia can be increased when Nafcillin is combined with Lidocaine.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Lidocaine is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Nalbuphine.]
[V03AB15, naloxone, The metabolism of Lidocaine can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Lidocaine can be increased when combined with Anakinra.]
[S01GA01, naphazoline, The risk or severity of hypertension can be increased when Naphazoline is combined with Lidocaine.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Lidocaine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Lidocaine.]
[A10BG01, troglitazone, The metabolism of Lidocaine can be decreased when combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Lidocaine can be decreased when combined with Duloxetine.]
[S01AA10, natamycin, The risk or severity of methemoglobinemia can be increased when Natamycin is combined with Lidocaine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Tolcapone.]
[L01CD02, docetaxel, The risk or severity of methemoglobinemia can be increased when Docetaxel is combined with Lidocaine.]
[L02BG04, letrozole, The risk or severity of methemoglobinemia can be increased when Letrozole is combined with Lidocaine.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Lidocaine is combined with Remifentanil.]
[C01CX08, levosimendan, Lidocaine may increase the arrhythmogenic activities of Levosimendan.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of methemoglobinemia can be increased when Amphotericin B is combined with Lidocaine.]
[S01AA19, ampicillin, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Lidocaine.]
[S01AA23, netilmicin, The risk or severity of methemoglobinemia can be increased when Netilmicin is combined with Lidocaine.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Desvenlafaxine.]
[L01XX01, amsacrine, The risk or severity of methemoglobinemia can be increased when Amsacrine is combined with Lidocaine.]
[C10AD02, niacin, The metabolism of Lidocaine can be decreased when combined with Niacin.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Lidocaine is combined with Nialamide.]
[C08CA04, nicardipine, Lidocaine may increase the arrhythmogenic activities of Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypertension can be increased when Nicergoline is combined with Lidocaine.]
[P02DA01, niclosamide, The metabolism of Lidocaine can be decreased when combined with Niclosamide.]
[V03AB22, amyl nitrite, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Amyl Nitrite.]
[C08CA06, nimodipine, Lidocaine may increase the arrhythmogenic activities of Nimodipine.]
[C08CA07, nisoldipine, Lidocaine may increase the arrhythmogenic activities of Nisoldipine.]
[N05CD02, nitrazepam, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Lidocaine.]
[C08CA08, nitrendipine, Lidocaine may increase the arrhythmogenic activities of Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Nitric Oxide.]
[J01XE01, nitrofurantoin, The risk or severity of methemoglobinemia can be increased when Nitrofurantoin is combined with Lidocaine.]
[N05CF03, zaleplon, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Lidocaine.]
