[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Prochlorperazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Prochlorperazine.]
[N02AD02, phenazocine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Phenazocine.]
[N06AF03, phenelzine, The risk or severity of extrapyramidal symptoms can be increased when Phenelzine is combined with Prochlorperazine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Prochlorperazine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Prochlorperazine.]
[N03AA02, phenobarbital, The metabolism of Prochlorperazine can be increased when combined with Phenobarbital.]
[N01AH04, phenoperidine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Phenoperidine.]
[A08AA01, phentermine, Prochlorperazine may decrease the stimulatory activities of Phentermine.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be increased when it is combined with Prochlorperazine.]
[L04AB06, golimumab, The metabolism of Prochlorperazine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Prochlorperazine.]
[C07AA03, pindolol, The serum concentration of Pindolol can be increased when it is combined with Prochlorperazine.]
[J05AE01, saquinavir, The metabolism of Prochlorperazine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Prochlorperazine.]
[N05AC04, pipothiazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Pipotiazine.]
[A02BX03, pirenzepine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N04BC08, piribedil, The therapeutic efficacy of Piribedil can be decreased when used in combination with Prochlorperazine.]
[N02AC03, pirinitramide, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Piritramide.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Grepafloxacin.]
[N02CX01, pizotyline, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The metabolism of Prochlorperazine can be decreased when combined with Delavirdine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Proxibarbal.]
[A03AE01, alosetron, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Prochlorperazine can be increased when combined with Canakinumab.]
[S03AA03, polymyxin B, Prochlorperazine may increase the neurotoxic activities of Polymyxin B.]
[J05AE03, ritonavir, The serum concentration of Prochlorperazine can be increased when it is combined with Ritonavir.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Prochlorperazine.]
[C07AB01, practolol, The serum concentration of Practolol can be increased when it is combined with Prochlorperazine.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Prochlorperazine.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Prazepam.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Prenylamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Prochlorperazine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Prochlorperazine can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Probucol.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Prochlorperazine.]
[S01HA05, procaine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Prochlorperazine.]
[L01XB01, procarbazine, The risk or severity of extrapyramidal symptoms can be increased when Procarbazine is combined with Prochlorperazine.]
[N07XX04, sodium oxybate, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Prochlorperazine.]
[G03DA04, progesterone, The metabolism of Prochlorperazine can be decreased when combined with Progesterone.]
[N05AA03, promazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Promethazine.]
[C01BC03, propafenone, The metabolism of Prochlorperazine can be decreased when combined with Propafenone.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Propanidid.]
[A03AB05, propantheline, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Periciazine.]
[N05CM06, propiomazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Propofol.]
[N02AC04, propoxyphene, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Prochlorperazine.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Prochlorperazine.]
[N06AA11, protriptyline, The serum concentration of Protriptyline can be increased when it is combined with Prochlorperazine.]
[R01BA02, pseudoephedrine, Prochlorperazine may decrease the stimulatory activities of Pseudoephedrine.]
[N05AX12, aripiprazole, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Prochlorperazine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Pyrantel.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Mepyramine.]
[P01BD01, pyrimethamine, The risk or severity of QTc prolongation can be increased when Pyrimethamine is combined with Prochlorperazine.]
[P01AX05, quinacrine, The risk or severity of QTc prolongation can be increased when Quinacrine is combined with Prochlorperazine.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Prochlorperazine.]
[P01BC01, quinine, The metabolism of Prochlorperazine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Prochlorperazine can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Prochlorperazine.]
[J04AB02, rifampin, The metabolism of Prochlorperazine can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Oxitriptan.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Roxithromycin.]
[S01FA02, scopolamine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Prochlorperazine.]
[N04BD01, selegiline, The therapeutic efficacy of Selegiline can be decreased when used in combination with Prochlorperazine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Prochlorperazine.]
