[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dronabinol.]
[H02AB05, paramethasone, The serum concentration of Dronabinol can be increased when it is combined with Paramethasone.]
[C02KC01, pargyline, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pargyline.]
[G04BD11, fesoterodine, The risk or severity of Tachycardia and drowsiness can be increased when Fesoterodine is combined with Dronabinol.]
[C07AA23, penbutolol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Penbutolol.]
[N05AG03, penfluridol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Penfluridol.]
[N02AD01, pentazocine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pentazocine.]
[N05CA01, pentobarbital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pentobarbital.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Dronabinol.]
[N05AB10, perazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Perazine.]
[N04BC02, pergolide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pergolide.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Dronabinol.]
[N05AB03, perphenazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Perphenazine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Dronabinol.]
[N02AD02, phenazocine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Phenazocine.]
[N06AF03, phenelzine, The serum concentration of Dronabinol can be increased when it is combined with Phenelzine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Dronabinol.]
[N03AA02, phenobarbital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Phenobarbital.]
[N01AH04, phenoperidine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Phenoperidine.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Dronabinol.]
[A08AA01, phentermine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Phentermine.]
[M02AA01, phenylbutazone, The serum concentration of Dronabinol can be increased when it is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Phenylephrine.]
[A02BC06, dexlansoprazole, The metabolism of Dexlansoprazole can be decreased when combined with Dronabinol.]
[R01BA01, phenylpropanolamine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Dronabinol can be increased when it is combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Dronabinol can be increased when combined with Golimumab.]
[L02BB03, bicalutamide, The serum concentration of Dronabinol can be increased when it is combined with Bicalutamide.]
[C08CX01, mibefradil, The serum concentration of Dronabinol can be increased when it is combined with Mibefradil.]
[S01EB01, pilocarpine, The serum concentration of Dronabinol can be increased when it is combined with Pilocarpine.]
[N05AG02, pimozide, The serum concentration of Dronabinol can be increased when it is combined with Pimozide.]
[C07AA03, pindolol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pindolol.]
[J05AE01, saquinavir, The serum concentration of Dronabinol can be increased when it is combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Dronabinol.]
[N05AC04, pipothiazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pipotiazine.]
[A02BX03, pirenzepine, The risk or severity of Tachycardia and drowsiness can be increased when Pirenzepine is combined with Dronabinol.]
[N02AC03, pirinitramide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Piritramide.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Dronabinol.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Dronabinol.]
[N02CX01, pizotyline, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pizotifen.]
[J05AG02, delavirdine, The serum concentration of Dronabinol can be increased when it is combined with Delavirdine.]
[C09CA04, irbesartan, The serum concentration of Dronabinol can be increased when it is combined with Irbesartan.]
[N05CA22, proxibarbal, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Proxibarbal.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Dronabinol.]
[A03AE01, alosetron, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Alosetron.]
[L04AC08, canakinumab, The metabolism of Dronabinol can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Dronabinol can be increased when it is combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Dronabinol.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Dronabinol.]
[N05BA11, prazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Prazepam.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Dronabinol.]
[N01BB04, prilocaine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Prilocaine.]
[P01BA03, primaquine, The serum concentration of Dronabinol can be increased when it is combined with Primaquine.]
[N03AA03, primidone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Primidone.]
[M04AB01, probenecid, The serum concentration of Dronabinol can be increased when it is combined with Probenecid.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Dronabinol.]
[S01HA05, procaine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Procaine.]
[L01XB01, procarbazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Procarbazine.]
[C10AB05, fenofibrate, The serum concentration of Dronabinol can be increased when it is combined with Fenofibrate.]
[N05AB04, prochlorperazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Prochlorperazine.]
[N04AA04, procyclidine, The risk or severity of Tachycardia and drowsiness can be increased when Procyclidine is combined with Dronabinol.]
[G03DA04, progesterone, The serum concentration of Dronabinol can be increased when it is combined with Progesterone.]
[N05AA03, promazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Promazine.]
[R06AD02, promethazine, The serum concentration of Dronabinol can be increased when it is combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Dronabinol.]
[N01AX04, propanidid, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Propanidid.]
[A03AB05, propantheline, The risk or severity of Tachycardia and drowsiness can be increased when Propantheline is combined with Dronabinol.]
[N05AC01, periciazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Periciazine.]
[N05CM06, propiomazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Propiomazine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Dronabinol.]
[N01AX10, propofol, The serum concentration of Dronabinol can be increased when it is combined with Propofol.]
[N02AC04, propoxyphene, The serum concentration of Dronabinol can be increased when it is combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Dronabinol.]
[N02CC04, rizatriptan, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Rizatriptan.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Dronabinol.]
[N06AA11, protriptyline, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Protriptyline.]
[R01BA02, pseudoephedrine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[A03AB15, diphemanil, The risk or severity of Tachycardia and drowsiness can be increased when Diphemanil is combined with Dronabinol.]
[A03AB09, isopropamide, The risk or severity of Tachycardia and drowsiness can be increased when Isopropamide is combined with Dronabinol.]
[S01FA03, methscopolamine, The risk or severity of Tachycardia and drowsiness can be increased when Methscopolamine is combined with Dronabinol.]
[N05CA07, talbutal, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Talbutal.]
[N05CA09, vinbarbital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Vinbarbital.]
[N05BB02, captodiamine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Captodiame.]
[M03BA04, styramate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Styramate.]
[P02CC01, pyrantel, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pyrantel.]
[R06AC01, pyrilamine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Mepyramine.]
[C01BA01, quinidine, The serum concentration of Dronabinol can be increased when it is combined with Quinidine.]
[P01BC01, quinine, The serum concentration of Dronabinol can be increased when it is combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Dronabinol.]
[C02AA02, reserpine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Reserpine.]
[J04AB02, rifampin, The metabolism of Dronabinol can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Rimiterol.]
[G02CA01, ritodrine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Ritodrine.]
[N06AX01, 5-hydroxytryptophan, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Oxitriptan.]
[J01FA06, roxithromycin, The serum concentration of Dronabinol can be increased when it is combined with Roxithromycin.]
[C05CA01, rutin, The serum concentration of Dronabinol can be increased when it is combined with Rutin.]
[S01BC08, salicylic acid, The metabolism of Salicylic acid can be decreased when combined with Dronabinol.]
[S01FA02, scopolamine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Secobarbital.]
[N04BD01, selegiline, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Selegiline.]
[H01CB01, somatostatin, The serum concentration of Dronabinol can be increased when it is combined with Somatostatin.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Dronabinol.]
