[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ranitidine.]
[S01AA23, netilmicin, Ranitidine may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Ranitidine may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C01CE01, inamrinone, Ranitidine may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Niacin is combined with Ranitidine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Ranitidine.]
[P02DA01, niclosamide, The metabolism of Ranitidine can be decreased when combined with Niclosamide.]
[N07BA01, nicotine, The serum concentration of Ranitidine can be increased when it is combined with Nicotine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Ranitidine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N05CF03, zaleplon, Ranitidine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N04BC05, pramipexole, The serum concentration of Pramipexole can be increased when it is combined with Ranitidine.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C01CA03, norepinephrine, The serum concentration of Ranitidine can be increased when it is combined with Norepinephrine.]
[S01AE02, norfloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Norfloxacin.]
[N06AA10, nortriptyline, The serum concentration of Nortriptyline can be increased when it is combined with Ranitidine.]
[L03AB07, interferon beta-1a, The metabolism of Ranitidine can be decreased when combined with Interferon beta-1a.]
[H01CB02, octreotide, Ranitidine can cause a decrease in the absorption of Octreotide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S02AA16, ofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Ranitidine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Ranitidine can be increased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Ranitidine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Ranitidine.]
[C01AC01, ouabain, The excretion of Ranitidine can be decreased when combined with Ouabain.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[V08CB01, ferumoxsil, Ranitidine can cause a decrease in the absorption of Ferumoxsil resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C07AA02, oxprenolol, The serum concentration of Ranitidine can be increased when it is combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Ranitidine.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Ranitidine.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[S01AA04, oxytetracycline, The excretion of Ranitidine can be decreased when combined with Oxytetracycline.]
[V04CH30, 4-aminohippuric acid, The excretion of Ranitidine can be decreased when combined with Aminohippuric acid.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Ranitidine.]
[M03AC01, pancuronium, The risk or severity of adverse effects can be increased when Ranitidine is combined with Pancuronium.]
[J04AB30, capreomycin, Ranitidine may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01MA03, pefloxacin, The metabolism of Ranitidine can be decreased when combined with Pefloxacin.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Ranitidine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Ranitidine.]
[M01CC01, penicillamine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Penicillamine is combined with Ranitidine.]
[S01AA14, penicillin G, The excretion of Ranitidine can be decreased when combined with Benzylpenicillin.]
[J01CE09, penicillin G procaine, Ranitidine may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L01XX08, pentostatin, Ranitidine may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, The metabolism of Ranitidine can be decreased when combined with Pentoxifylline.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Ranitidine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Ranitidine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Ranitidine.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[A10BA01, phenformin, The serum concentration of Ranitidine can be increased when it is combined with Phenformin.]
[C04AX02, phenoxybenzamine, The serum concentration of Ranitidine can be increased when it is combined with Phenoxybenzamine.]
[A08AA01, phentermine, Phentermine may decrease the sedative and stimulatory activities of Ranitidine.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[M02AA01, phenylbutazone, The excretion of Ranitidine can be decreased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The metabolism of Ranitidine can be increased when combined with Phenylephrine.]
[N03AB02, phenytoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Phenytoin is combined with Ranitidine.]
[L04AB06, golimumab, The metabolism of Ranitidine can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, Ranitidine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Ranitidine may decrease the excretion rate of Phylloquinone which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Ranitidine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Ranitidine.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Ranitidine.]
[C10AA05, atorvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Atorvastatin.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J05AE01, saquinavir, Ranitidine can cause an increase in the absorption of Saquinavir resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Ranitidine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Ranitidine.]
[N06BX03, piracetam, Ranitidine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Eprosartan.]
[S01BC06, piroxicam, The excretion of Ranitidine can be decreased when combined with Piroxicam.]
[J01DD16, cefditoren, The serum concentration of Cefditoren can be decreased when it is combined with Ranitidine.]
[J01MA11, grepafloxacin, The serum concentration of Ranitidine can be increased when it is combined with Grepafloxacin.]
[J05AG02, delavirdine, Ranitidine can cause a decrease in the absorption of Delavirdine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[A03AE01, alosetron, The metabolism of Ranitidine can be decreased when combined with Alosetron.]
[L04AC08, canakinumab, The metabolism of Ranitidine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ritonavir is combined with Ranitidine.]
[A10BH03, saxagliptin, Ranitidine may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C10AA08, pitavastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Pitavastatin.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Ranitidine.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Ranitidine.]
[C02CA01, prazosin, The serum concentration of Prazosin can be increased when it is combined with Ranitidine.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[P01BA03, primaquine, The metabolism of Ranitidine can be increased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Ranitidine can be increased when combined with Primidone.]
[M04AB01, probenecid, The excretion of Ranitidine can be decreased when combined with Probenecid.]
[C01BA02, procainamide, The serum concentration of Procainamide can be increased when it is combined with Ranitidine.]
[L01XB01, procarbazine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Procarbazine.]
[C10AB05, fenofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Fenofibrate.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Ranitidine.]
[G03DA04, progesterone, The serum concentration of Ranitidine can be increased when it is combined with Progesterone.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Ranitidine.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Ranitidine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Ranitidine.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N01AX10, propofol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Ranitidine.]
[N02AC04, propoxyphene, The metabolism of Dextropropoxyphene can be decreased when combined with Ranitidine.]
[C07AA05, propranolol, The serum concentration of Ranitidine can be increased when it is combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Ranitidine.]
[N02CC04, rizatriptan, Ranitidine may decrease the excretion rate of Rizatriptan which could result in a higher serum level.]
[B01AC09, epoprostenol, Ranitidine may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[R03DC03, montelukast, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Montelukast is combined with Ranitidine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the sedative and stimulatory activities of Ranitidine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Ranitidine.]
[N07XX07, dalfampridine, The serum concentration of Dalfampridine can be increased when it is combined with Ranitidine.]
[P02CC01, pyrantel, Ranitidine may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[P01AX05, quinacrine, The serum concentration of Ranitidine can be increased when it is combined with Quinacrine.]
[C01BA01, quinidine, The metabolism of Ranitidine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The serum concentration of Ranitidine can be increased when it is combined with Quinine.]
[C02AA02, reserpine, The serum concentration of Reserpine can be increased when it is combined with Ranitidine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[S01XA26, riboflavin, The excretion of Ranitidine can be decreased when combined with Riboflavin.]
[J04AB02, rifampin, Ranitidine can cause a decrease in the absorption of Rifampicin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[S01BC08, salicylic acid, The excretion of Ranitidine can be decreased when combined with Salicylic acid.]
[N05CA06, secobarbital, Secobarbital may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Ranitidine.]
[J01GB08, sisomicin, Ranitidine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Ranitidine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Ranitidine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Ranitidine.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
